HUD frame time nsec:,16661000

Range Index,Elapsed Time, First Event,Last Event
0,7104,1,1
1,8736,37,37
2,14016,71,71
3,121984,107,107
4,736,143,143
5,704,179,179
6,736,215,215
7,896,251,251
8,736,287,287
9,736,323,323
10,768,359,359
11,704,395,395
12,800,431,431
13,704,467,467
14,768,503,503
15,768,539,539
16,736,575,575
17,800,611,611
18,736,647,647
19,736,683,683
20,704,719,719
21,736,755,755
22,736,791,791
23,736,827,827
24,736,863,863
25,704,899,899
26,736,935,935
27,704,971,971
28,800,1007,1007
29,704,1043,1043
30,736,1079,1079
31,736,1115,1115
32,704,1151,1151
33,704,1187,1187
34,704,1223,1223
35,736,1259,1259
36,736,1295,1295
37,704,1331,1331
38,800,1367,1367
39,704,1403,1403
40,800,1439,1439
41,768,1475,1475
42,800,1511,1511
43,768,1547,1547
44,832,1583,1583
45,704,1619,1619
46,704,1655,1655
47,704,1691,1691
48,704,1727,1727
49,704,1763,1763
50,736,1799,1799
51,704,1835,1835
52,736,1871,1871
53,704,1907,1907
54,736,1943,1943
55,864,1979,1979
56,736,2015,2015
57,736,2051,2051
58,736,2087,2087
59,704,2123,2123
60,736,2159,2159
61,736,2195,2195
62,704,2231,2231
63,704,2267,2267
64,736,2303,2303
65,768,2339,2339
66,704,2375,2375
67,704,2411,2411
68,768,2447,2447
69,736,2483,2483
70,736,2519,2519
71,736,2555,2555
72,736,2591,2591
73,736,2627,2627
74,768,2663,2663
75,736,2699,2699
76,768,2735,2735
77,736,2771,2771
78,736,2807,2807
79,736,2843,2843
80,736,2879,2879
81,736,2915,2915
82,992,2951,2951
83,704,2987,2987
84,704,3023,3023
85,736,3059,3059
86,736,3095,3095
87,704,3131,3131
88,768,3167,3167
89,736,3203,3203
90,736,3239,3239
91,704,3275,3275
92,704,3311,3311
93,704,3347,3347
94,736,3383,3383
95,736,3419,3419
96,736,3455,3455
97,736,3491,3491
98,736,3527,3527
99,704,3563,3563
100,736,3599,3599
101,704,3635,3635
102,736,3671,3671
103,736,3707,3707
104,736,3743,3743
105,736,3779,3779
106,704,3815,3815
107,736,3851,3851
108,704,3887,3887
109,736,3923,3923
110,704,3959,3959
111,704,3995,3995
112,736,4031,4031
113,704,4067,4067
114,704,4103,4103
115,704,4139,4139
116,704,4175,4175
117,736,4211,4211
118,704,4247,4247
119,704,4283,4283
120,736,4319,4319
121,704,4355,4355
122,736,4391,4391
123,704,4427,4427
124,704,4463,4463
125,736,4499,4499
126,704,4535,4535
127,704,4571,4571
128,704,4607,4607
129,704,4643,4643
130,736,4679,4679
131,704,4715,4715
132,736,4751,4751
133,704,4787,4787
134,704,4823,4823
135,704,4859,4859
136,704,4895,4895
137,704,4931,4931
138,736,4967,4967
139,704,5003,5003
140,704,5039,5039
141,704,5075,5075
142,704,5111,5111
143,672,5147,5147
144,736,5183,5183
145,704,5219,5219
146,704,5255,5255
147,704,5291,5291
148,704,5327,5327
149,704,5363,5363
150,704,5399,5399
151,672,5435,5435
152,736,5471,5471
153,704,5507,5507
154,672,5543,5543
155,704,5579,5579
156,736,5615,5615
157,736,5651,5651
158,704,5687,5687
159,704,5723,5723
160,736,5759,5759
161,672,5795,5795
162,704,5831,5831
163,704,5867,5867
164,800,5903,5903
165,3987008,5939,5939
166,768,5975,5975
167,736,6011,6011
168,736,6047,6047
169,736,6083,6083
170,768,6119,6119
171,704,6155,6155
172,768,6191,6191
173,768,6227,6227
174,704,6263,6263
175,768,6299,6299
176,768,6335,6335
177,704,6371,6371
178,800,6407,6407
179,736,6443,6443
180,704,6479,6479
181,832,6515,6515
182,704,6551,6551
183,704,6587,6587
184,768,6623,6623
185,736,6659,6659
186,928,6695,6695
187,736,6731,6731
188,736,6767,6767
189,736,6803,6803
190,736,6839,6839
191,736,6875,6875
192,768,6911,6911
193,736,6947,6947
194,736,6983,6983
195,736,7019,7019
196,736,7055,7055
197,768,7091,7091
198,736,7127,7127
199,736,7163,7163
200,736,7199,7199
201,768,7235,7235
202,768,7271,7271
203,736,7307,7307
204,736,7343,7343
205,736,7379,7379
206,704,7415,7415
207,832,7451,7451
208,768,7487,7487
209,736,7523,7523
210,736,7559,7559
211,736,7595,7595
212,736,7631,7631
213,768,7667,7667
214,736,7703,7703
215,704,7739,7739
216,736,7775,7775
217,736,7811,7811
218,768,7847,7847
219,736,7883,7883
220,736,7919,7919
221,736,7955,7955
222,704,7991,7991
223,928,8027,8027
224,704,8063,8063
225,704,8099,8099
226,736,8135,8135
227,736,8171,8171
228,736,8207,8207
229,736,8243,8243
230,704,8279,8279
231,736,8315,8315
232,704,8351,8351
233,704,8387,8387
234,896,8423,8423
235,736,8459,8459
236,704,8495,8495
237,704,8531,8531
238,736,8567,8567
239,736,8603,8603
240,704,8639,8639
241,736,8675,8675
242,736,8711,8711
243,704,8747,8747
244,736,8783,8783
245,736,8819,8819
246,736,8855,8855
247,736,8891,8891
248,736,8927,8927
249,736,8963,8963
250,736,8999,8999
251,736,9035,9035
252,704,9071,9071
253,736,9107,9107
254,736,9143,9143
255,704,9179,9179
256,736,9215,9215
257,736,9251,9251
258,736,9287,9287
259,736,9323,9323
260,736,9359,9359
261,736,9395,9395
262,704,9431,9431
263,736,9467,9467
264,736,9503,9503
265,736,9539,9539
266,768,9575,9575
267,736,9611,9611
268,736,9647,9647
269,736,9683,9683
270,736,9719,9719
271,736,9755,9755
272,768,9791,9791
273,736,9827,9827
274,736,9863,9863
275,704,9899,9899
276,736,9935,9935
277,768,9971,9971
278,768,10007,10007
279,736,10043,10043
280,768,10079,10079
281,736,10115,10115
282,736,10151,10151
283,704,10187,10187
284,736,10223,10223
285,736,10259,10259
286,736,10295,10295
287,736,10331,10331
288,704,10367,10367
289,704,10403,10403
290,736,10439,10439
291,736,10475,10475
292,736,10511,10511
293,992,10547,10547
294,704,10583,10583
295,736,10619,10619
296,736,10655,10655
297,768,10691,10691
298,736,10727,10727
299,736,10763,10763
300,928,10799,10799
301,704,10835,10835
302,736,10871,10871
303,704,10907,10907
304,704,10943,10943
305,864,10979,10979
306,736,11015,11015
307,736,11051,11051
308,736,11087,11087
309,768,11123,11123
310,704,11159,11159
311,736,11195,11195
312,704,11231,11231
313,736,11267,11267
314,704,11303,11303
315,704,11339,11339
316,928,11375,11375
317,736,11411,11411
318,704,11447,11447
319,704,11483,11483
320,704,11519,11519
321,736,11555,11555
322,704,11591,11591
323,736,11627,11627
324,704,11663,11663
325,768,11699,11699
326,704,11735,11735
327,704,11771,11771
328,736,11807,11807
329,704,11843,11843
330,704,11879,11879
331,704,11915,11915
332,736,11951,11951
333,704,11987,11987
334,736,12023,12023
335,736,12059,12059
336,704,12095,12095
337,768,12131,12131
338,704,12167,12167
339,736,12203,12203
340,768,12239,12239
341,704,12275,12275
342,736,12311,12311
343,704,12347,12347
344,704,12383,12383
345,704,12419,12419
346,704,12455,12455
347,704,12491,12491
348,704,12527,12527
349,704,12563,12563
350,704,12599,12599
351,736,12635,12635
352,992,12671,12671
353,736,12707,12707
354,736,12743,12743
355,736,12779,12779
356,704,12815,12815
357,768,12851,12851
358,736,12887,12887
359,736,12923,12923
360,704,12959,12959
361,736,12995,12995
362,704,13031,13031
363,704,13067,13067
364,704,13103,13103
365,672,13139,13139
366,704,13175,13175
367,736,13211,13211
368,736,13247,13247
369,704,13283,13283
370,736,13319,13319
371,800,13355,13355
372,704,13391,13391
373,704,13427,13427
374,736,13463,13463
375,704,13499,13499
376,736,13535,13535
377,736,13571,13571
378,704,13607,13607
379,704,13643,13643
380,736,13679,13679
381,704,13715,13715
382,736,13751,13751
383,704,13787,13787
384,736,13823,13823
385,736,13859,13859
386,736,13895,13895
387,704,13931,13931
388,736,13967,13967
389,704,14003,14003
390,704,14039,14039
