HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,7072,1,1
1,9024,37,37
2,13792,71,71
3,124256,107,107
4,704,143,143
5,736,179,179
6,768,215,215
7,960,251,251
8,704,287,287
9,736,323,323
10,768,359,359
11,768,395,395
12,768,431,431
13,736,467,467
14,768,503,503
15,704,539,539
16,704,575,575
17,736,611,611
18,704,647,647
19,704,683,683
20,704,719,719
21,896,755,755
22,800,791,791
23,736,827,827
24,704,863,863
25,736,899,899
26,736,935,935
27,736,971,971
28,736,1007,1007
29,768,1043,1043
30,736,1079,1079
31,704,1115,1115
32,736,1151,1151
33,736,1187,1187
34,704,1223,1223
35,736,1259,1259
36,704,1295,1295
37,704,1331,1331
38,736,1367,1367
39,736,1403,1403
40,736,1439,1439
41,736,1475,1475
42,736,1511,1511
43,736,1547,1547
44,704,1583,1583
45,704,1619,1619
46,768,1655,1655
47,736,1691,1691
48,896,1727,1727
49,768,1763,1763
50,736,1799,1799
51,800,1835,1835
52,800,1871,1871
53,736,1907,1907
54,704,1943,1943
55,832,1979,1979
56,704,2015,2015
57,768,2051,2051
58,768,2087,2087
59,736,2123,2123
60,736,2159,2159
61,768,2195,2195
62,736,2231,2231
63,736,2267,2267
64,768,2303,2303
65,736,2339,2339
66,768,2375,2375
67,704,2411,2411
68,736,2447,2447
69,736,2483,2483
70,704,2519,2519
71,736,2555,2555
72,704,2591,2591
73,704,2627,2627
74,736,2663,2663
75,928,2699,2699
76,736,2735,2735
77,736,2771,2771
78,704,2807,2807
79,736,2843,2843
80,768,2879,2879
81,736,2915,2915
82,736,2951,2951
83,704,2987,2987
84,736,3023,3023
85,736,3059,3059
86,736,3095,3095
87,704,3131,3131
88,736,3167,3167
89,736,3203,3203
90,736,3239,3239
91,736,3275,3275
92,736,3311,3311
93,736,3347,3347
94,736,3383,3383
95,736,3419,3419
96,704,3455,3455
97,704,3491,3491
98,736,3527,3527
99,736,3563,3563
100,704,3599,3599
101,736,3635,3635
102,736,3671,3671
103,736,3707,3707
104,736,3743,3743
105,704,3779,3779
106,736,3815,3815
107,704,3851,3851
108,704,3887,3887
109,736,3923,3923
110,736,3959,3959
111,736,3995,3995
112,736,4031,4031
113,736,4067,4067
114,736,4103,4103
115,736,4139,4139
116,736,4175,4175
117,736,4211,4211
118,736,4247,4247
119,704,4283,4283
120,704,4319,4319
121,736,4355,4355
122,704,4391,4391
123,736,4427,4427
124,736,4463,4463
125,704,4499,4499
126,736,4535,4535
127,736,4571,4571
128,704,4607,4607
129,704,4643,4643
130,704,4679,4679
131,704,4715,4715
132,704,4751,4751
133,736,4787,4787
134,736,4823,4823
135,704,4859,4859
136,736,4895,4895
137,704,4931,4931
138,736,4967,4967
139,704,5003,5003
140,704,5039,5039
141,704,5075,5075
142,704,5111,5111
143,704,5147,5147
144,704,5183,5183
145,736,5219,5219
146,704,5255,5255
147,736,5291,5291
148,704,5327,5327
149,704,5363,5363
150,704,5399,5399
151,704,5435,5435
152,704,5471,5471
153,704,5507,5507
154,704,5543,5543
155,736,5579,5579
156,704,5615,5615
157,736,5651,5651
158,704,5687,5687
159,704,5723,5723
160,672,5759,5759
161,672,5795,5795
162,704,5831,5831
163,704,5867,5867
164,704,5903,5903
165,736,5939,5939
166,704,5975,5975
167,704,6011,6011
168,736,6047,6047
169,704,6083,6083
170,736,6119,6119
171,672,6155,6155
172,704,6191,6191
173,768,6227,6227
174,704,6263,6263
175,704,6299,6299
176,704,6335,6335
177,704,6371,6371
178,672,6407,6407
179,704,6443,6443
180,704,6479,6479
181,4005792,6515,6515
182,736,6551,6551
183,768,6587,6587
184,704,6623,6623
185,736,6659,6659
186,768,6695,6695
187,736,6731,6731
188,832,6767,6767
189,704,6803,6803
190,736,6839,6839
191,768,6875,6875
192,768,6911,6911
193,704,6947,6947
194,768,6983,6983
195,832,7019,7019
196,768,7055,7055
197,768,7091,7091
198,672,7127,7127
199,736,7163,7163
200,768,7199,7199
201,736,7235,7235
202,736,7271,7271
203,800,7307,7307
204,736,7343,7343
205,768,7379,7379
206,800,7415,7415
207,832,7451,7451
208,736,7487,7487
209,736,7523,7523
210,736,7559,7559
211,736,7595,7595
212,736,7631,7631
213,736,7667,7667
214,864,7703,7703
215,736,7739,7739
216,736,7775,7775
217,704,7811,7811
218,736,7847,7847
219,736,7883,7883
220,704,7919,7919
221,768,7955,7955
222,736,7991,7991
223,736,8027,8027
224,704,8063,8063
225,736,8099,8099
226,736,8135,8135
227,736,8171,8171
228,736,8207,8207
229,736,8243,8243
230,704,8279,8279
231,800,8315,8315
232,736,8351,8351
233,736,8387,8387
234,704,8423,8423
235,704,8459,8459
236,704,8495,8495
237,928,8531,8531
238,704,8567,8567
239,736,8603,8603
240,704,8639,8639
241,736,8675,8675
242,736,8711,8711
243,736,8747,8747
244,704,8783,8783
245,704,8819,8819
246,736,8855,8855
247,736,8891,8891
248,704,8927,8927
249,736,8963,8963
250,768,8999,8999
251,736,9035,9035
252,736,9071,9071
253,736,9107,9107
254,736,9143,9143
255,736,9179,9179
256,736,9215,9215
257,736,9251,9251
258,736,9287,9287
259,736,9323,9323
260,736,9359,9359
261,768,9395,9395
262,736,9431,9431
263,768,9467,9467
264,736,9503,9503
265,736,9539,9539
266,736,9575,9575
267,736,9611,9611
268,768,9647,9647
