HUD frame time nsec:,23291000

Range Index,Elapsed Time, First Event,Last Event
0,6816,1,1
1,8576,37,37
2,13888,71,71
3,127392,107,107
4,9696,157,157
5,736,193,193
6,736,244,244
7,704,280,280
8,704,331,331
9,704,367,367
10,704,418,418
11,704,454,454
12,704,505,505
13,704,541,541
14,704,592,592
15,736,628,628
16,736,679,679
17,704,715,715
18,736,766,766
19,768,802,802
20,736,853,853
21,704,889,889
22,736,940,940
23,704,976,976
24,704,1027,1027
25,704,1063,1063
26,704,1114,1114
27,704,1150,1150
28,704,1201,1201
29,736,1237,1237
30,704,1288,1288
31,896,1324,1324
32,704,1375,1375
33,704,1411,1411
34,704,1462,1462
35,704,1498,1498
36,704,1549,1549
37,704,1585,1585
38,736,1636,1636
39,704,1672,1672
40,736,1723,1723
41,704,1759,1759
42,736,1810,1810
43,704,1846,1846
44,736,1897,1897
45,704,1933,1933
46,736,1984,1984
47,704,2020,2020
48,800,2071,2071
49,736,2107,2107
50,704,2158,2158
51,704,2194,2194
52,704,2245,2245
53,704,2281,2281
54,704,2332,2332
55,704,2368,2368
56,736,2419,2419
57,736,2455,2455
58,704,2506,2506
59,704,2542,2542
60,704,2593,2593
61,736,2629,2629
62,704,2680,2680
63,704,2716,2716
64,736,2767,2767
65,704,2803,2803
66,704,2854,2854
67,736,2890,2890
68,704,2941,2941
69,736,2977,2977
70,704,3028,3028
71,704,3064,3064
72,704,3115,3115
73,704,3151,3151
74,704,3202,3202
75,768,3238,3238
76,704,3289,3289
77,704,3325,3325
78,704,3376,3376
79,704,3412,3412
80,704,3463,3463
81,928,3499,3499
82,704,3550,3550
83,704,3586,3586
84,704,3637,3637
85,672,3673,3673
86,704,3724,3724
87,704,3760,3760
88,672,3811,3811
89,672,3847,3847
90,672,3898,3898
91,704,3934,3934
92,704,3985,3985
93,704,4021,4021
94,704,4072,4072
95,704,4108,4108
96,672,4159,4159
97,672,4195,4195
98,704,4246,4246
99,672,4282,4282
100,704,4333,4333
101,704,4369,4369
102,704,4420,4420
103,704,4456,4456
104,704,4507,4507
105,736,4543,4543
106,672,4594,4594
107,4073408,4630,4630
108,2208,4681,4681
109,736,4717,4717
110,704,4768,4768
111,704,4804,4804
112,736,4855,4855
113,768,4891,4891
114,768,4942,4942
115,704,4978,4978
116,704,5029,5029
117,736,5065,5065
118,928,5116,5116
119,800,5152,5152
120,704,5203,5203
121,704,5239,5239
122,704,5290,5290
123,736,5326,5326
124,768,5377,5377
125,736,5413,5413
126,736,5464,5464
127,800,5500,5500
128,736,5551,5551
129,736,5587,5587
130,704,5638,5638
131,704,5674,5674
132,704,5725,5725
133,736,5761,5761
134,768,5812,5812
135,736,5848,5848
136,704,5899,5899
137,736,5935,5935
138,736,5986,5986
139,704,6022,6022
140,704,6073,6073
141,736,6109,6109
142,736,6160,6160
143,736,6196,6196
144,704,6247,6247
145,736,6283,6283
146,704,6334,6334
147,736,6370,6370
148,704,6421,6421
149,704,6457,6457
150,704,6508,6508
151,736,6544,6544
152,736,6595,6595
153,736,6631,6631
154,704,6682,6682
155,736,6718,6718
156,704,6769,6769
157,928,6805,6805
158,704,6856,6856
159,736,6892,6892
160,704,6943,6943
161,736,6979,6979
162,704,7030,7030
163,736,7066,7066
164,704,7117,7117
165,704,7153,7153
166,704,7204,7204
167,736,7240,7240
168,736,7291,7291
169,736,7327,7327
170,704,7378,7378
171,704,7414,7414
172,704,7465,7465
173,704,7501,7501
174,736,7552,7552
175,736,7588,7588
176,736,7639,7639
177,704,7675,7675
178,704,7726,7726
179,928,7762,7762
180,736,7813,7813
181,736,7849,7849
182,704,7900,7900
183,704,7936,7936
184,736,7987,7987
185,736,8023,8023
186,704,8074,8074
187,736,8110,8110
188,704,8161,8161
189,704,8197,8197
190,736,8248,8248
191,736,8284,8284
192,704,8335,8335
193,704,8371,8371
194,736,8422,8422
195,736,8458,8458
196,704,8509,8509
197,704,8545,8545
198,736,8596,8596
199,768,8632,8632
200,704,8683,8683
201,736,8719,8719
202,736,8770,8770
203,736,8806,8806
204,704,8857,8857
205,736,8893,8893
206,736,8944,8944
207,768,8980,8980
208,704,9031,9031
209,736,9067,9067
210,704,9118,9118
211,736,9154,9154
212,736,9205,9205
213,736,9241,9241
214,736,9292,9292
215,704,9328,9328
216,736,9379,9379
217,736,9415,9415
218,736,9466,9466
219,736,9502,9502
220,704,9553,9553
221,736,9589,9589
222,704,9640,9640
223,704,9676,9676
224,736,9727,9727
225,704,9763,9763
226,928,9814,9814
227,1024,9850,9850
228,736,9901,9901
229,704,9937,9937
230,704,9988,9988
231,832,10024,10024
232,736,10075,10075
233,704,10111,10111
234,736,10162,10162
