HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,7104,1,1
1,8832,37,37
2,13184,71,71
3,92096,107,107
4,10528,157,157
5,800,193,193
6,672,244,244
7,736,280,280
8,704,331,331
9,736,367,367
10,736,418,418
11,736,454,454
12,768,505,505
13,960,541,541
14,736,592,592
15,704,628,628
16,704,679,679
17,704,715,715
18,672,766,766
19,736,802,802
20,736,853,853
21,736,889,889
22,736,940,940
23,736,976,976
24,800,1027,1027
25,768,1063,1063
26,704,1114,1114
27,704,1150,1150
28,960,1201,1201
29,736,1237,1237
30,704,1288,1288
31,704,1324,1324
32,704,1375,1375
33,736,1411,1411
34,736,1462,1462
35,736,1498,1498
36,736,1549,1549
37,736,1585,1585
38,704,1636,1636
39,704,1672,1672
40,736,1723,1723
41,704,1759,1759
42,704,1810,1810
43,704,1846,1846
44,736,1897,1897
45,704,1933,1933
46,736,1984,1984
47,736,2020,2020
48,736,2071,2071
49,704,2107,2107
50,736,2158,2158
51,736,2194,2194
52,736,2245,2245
53,736,2281,2281
54,832,2332,2332
55,704,2368,2368
56,704,2419,2419
57,736,2455,2455
58,736,2506,2506
59,736,2542,2542
60,704,2593,2593
61,736,2629,2629
62,736,2680,2680
63,704,2716,2716
64,736,2767,2767
65,736,2803,2803
66,736,2854,2854
67,736,2890,2890
68,736,2941,2941
69,768,2977,2977
70,704,3028,3028
71,736,3064,3064
72,704,3115,3115
73,704,3151,3151
74,704,3202,3202
75,736,3238,3238
76,736,3289,3289
77,704,3325,3325
78,736,3376,3376
79,768,3412,3412
80,736,3463,3463
81,736,3499,3499
82,704,3550,3550
83,704,3586,3586
84,736,3637,3637
85,736,3673,3673
86,736,3724,3724
87,736,3760,3760
88,736,3811,3811
89,736,3847,3847
90,704,3898,3898
91,736,3934,3934
92,736,3985,3985
93,704,4021,4021
94,736,4072,4072
95,704,4108,4108
96,736,4159,4159
97,704,4195,4195
98,704,4246,4246
99,736,4282,4282
100,736,4333,4333
101,736,4369,4369
102,704,4420,4420
103,736,4456,4456
104,704,4507,4507
105,704,4543,4543
106,704,4594,4594
107,736,4630,4630
108,992,4681,4681
109,736,4717,4717
110,736,4768,4768
111,736,4804,4804
112,704,4855,4855
113,704,4891,4891
114,704,4942,4942
115,704,4978,4978
116,736,5029,5029
117,704,5065,5065
118,704,5116,5116
119,768,5152,5152
120,704,5203,5203
121,736,5239,5239
122,704,5290,5290
123,704,5326,5326
124,704,5377,5377
125,704,5413,5413
126,704,5464,5464
127,704,5500,5500
128,704,5551,5551
129,704,5587,5587
130,704,5638,5638
131,704,5674,5674
132,704,5725,5725
133,704,5761,5761
134,704,5812,5812
135,704,5848,5848
136,736,5899,5899
137,704,5935,5935
138,704,5986,5986
139,704,6022,6022
140,704,6073,6073
141,704,6109,6109
142,736,6160,6160
143,736,6196,6196
144,704,6247,6247
145,704,6283,6283
146,704,6334,6334
147,704,6370,6370
148,704,6421,6421
149,704,6457,6457
150,672,6508,6508
151,704,6544,6544
152,800,6595,6595
153,704,6631,6631
154,672,6682,6682
155,3679552,6718,6718
156,2240,6769,6769
157,736,6805,6805
158,768,6856,6856
159,704,6892,6892
160,704,6943,6943
161,704,6979,6979
162,736,7030,7030
163,736,7066,7066
164,768,7117,7117
165,992,7153,7153
166,768,7204,7204
167,768,7240,7240
168,768,7291,7291
169,736,7327,7327
170,736,7378,7378
171,704,7414,7414
172,736,7465,7465
173,704,7501,7501
174,736,7552,7552
175,704,7588,7588
176,736,7639,7639
177,736,7675,7675
178,736,7726,7726
179,768,7762,7762
180,768,7813,7813
181,704,7849,7849
182,704,7900,7900
183,736,7936,7936
184,704,7987,7987
185,704,8023,8023
186,704,8074,8074
187,736,8110,8110
188,704,8161,8161
189,704,8197,8197
190,736,8248,8248
191,736,8284,8284
192,736,8335,8335
193,704,8371,8371
194,704,8422,8422
195,736,8458,8458
196,704,8509,8509
197,704,8545,8545
198,704,8596,8596
199,736,8632,8632
200,704,8683,8683
201,736,8719,8719
202,736,8770,8770
203,736,8806,8806
204,704,8857,8857
205,736,8893,8893
206,704,8944,8944
207,704,8980,8980
208,928,9031,9031
209,736,9067,9067
210,736,9118,9118
211,704,9154,9154
212,832,9205,9205
213,704,9241,9241
214,704,9292,9292
215,704,9328,9328
216,736,9379,9379
217,704,9415,9415
218,704,9466,9466
219,672,9502,9502
220,736,9553,9553
221,704,9589,9589
