HUD frame time nsec:,16660000

Range Index,Elapsed Time, First Event,Last Event
0,7040,1,1
1,8640,37,37
2,13216,71,71
3,136704,107,107
4,9824,157,157
5,736,193,193
6,704,244,244
7,704,280,280
8,704,331,331
9,704,367,367
10,704,418,418
11,704,454,454
12,704,505,505
13,736,541,541
14,768,592,592
15,832,628,628
16,704,679,679
17,704,715,715
18,768,766,766
19,736,802,802
20,896,853,853
21,768,889,889
22,704,940,940
23,704,976,976
24,704,1027,1027
25,704,1063,1063
26,736,1114,1114
27,736,1150,1150
28,736,1201,1201
29,704,1237,1237
30,736,1288,1288
31,704,1324,1324
32,736,1375,1375
33,960,1411,1411
34,736,1462,1462
35,704,1498,1498
36,832,1549,1549
37,704,1585,1585
38,736,1636,1636
39,704,1672,1672
40,736,1723,1723
41,736,1759,1759
42,704,1810,1810
43,736,1846,1846
44,704,1897,1897
45,704,1933,1933
46,736,1984,1984
47,736,2020,2020
48,704,2071,2071
49,736,2107,2107
50,704,2158,2158
51,704,2194,2194
52,704,2245,2245
53,736,2281,2281
54,736,2332,2332
55,736,2368,2368
56,832,2419,2419
57,704,2455,2455
58,736,2506,2506
59,704,2542,2542
60,736,2593,2593
61,736,2629,2629
62,736,2680,2680
63,736,2716,2716
64,704,2767,2767
65,768,2803,2803
66,736,2854,2854
67,736,2890,2890
68,704,2941,2941
69,704,2977,2977
70,704,3028,3028
71,736,3064,3064
72,704,3115,3115
73,704,3151,3151
74,704,3202,3202
75,736,3238,3238
76,704,3289,3289
77,736,3325,3325
78,704,3376,3376
79,736,3412,3412
80,704,3463,3463
81,736,3499,3499
82,704,3550,3550
83,704,3586,3586
84,704,3637,3637
85,736,3673,3673
86,736,3724,3724
87,704,3760,3760
88,736,3811,3811
89,736,3847,3847
90,736,3898,3898
91,736,3934,3934
92,704,3985,3985
93,736,4021,4021
94,736,4072,4072
95,704,4108,4108
96,736,4159,4159
97,736,4195,4195
98,736,4246,4246
99,704,4282,4282
100,736,4333,4333
101,704,4369,4369
102,736,4420,4420
103,736,4456,4456
104,736,4507,4507
105,736,4543,4543
106,736,4594,4594
107,704,4630,4630
108,736,4681,4681
109,704,4717,4717
110,736,4768,4768
111,704,4804,4804
112,704,4855,4855
113,736,4891,4891
114,736,4942,4942
115,704,4978,4978
116,704,5029,5029
117,704,5065,5065
118,864,5116,5116
119,736,5152,5152
120,704,5203,5203
121,704,5239,5239
122,736,5290,5290
123,736,5326,5326
124,704,5377,5377
125,704,5413,5413
126,704,5464,5464
127,704,5500,5500
128,736,5551,5551
129,704,5587,5587
130,736,5638,5638
131,704,5674,5674
132,704,5725,5725
133,736,5761,5761
134,704,5812,5812
135,736,5848,5848
136,736,5899,5899
137,704,5935,5935
138,736,5986,5986
139,704,6022,6022
140,704,6073,6073
141,704,6109,6109
142,704,6160,6160
143,704,6196,6196
144,704,6247,6247
145,704,6283,6283
146,704,6334,6334
147,704,6370,6370
148,704,6421,6421
149,704,6457,6457
150,672,6508,6508
151,736,6544,6544
152,672,6595,6595
153,704,6631,6631
154,704,6682,6682
155,704,6718,6718
156,704,6769,6769
157,736,6805,6805
158,704,6856,6856
159,704,6892,6892
160,736,6943,6943
161,704,6979,6979
162,704,7030,7030
163,3444800,7066,7066
164,2112,7117,7117
165,736,7153,7153
166,736,7204,7204
167,768,7240,7240
168,768,7291,7291
169,768,7327,7327
170,864,7378,7378
171,736,7414,7414
172,768,7465,7465
173,736,7501,7501
174,800,7552,7552
175,704,7588,7588
176,768,7639,7639
177,736,7675,7675
178,736,7726,7726
179,800,7762,7762
180,736,7813,7813
181,736,7849,7849
182,704,7900,7900
183,832,7936,7936
184,736,7987,7987
185,768,8023,8023
186,704,8074,8074
187,704,8110,8110
188,736,8161,8161
189,736,8197,8197
190,704,8248,8248
191,928,8284,8284
192,704,8335,8335
193,736,8371,8371
194,736,8422,8422
195,832,8458,8458
196,736,8509,8509
197,736,8545,8545
198,736,8596,8596
199,736,8632,8632
200,736,8683,8683
201,704,8719,8719
202,704,8770,8770
203,736,8806,8806
204,736,8857,8857
205,736,8893,8893
206,800,8944,8944
207,960,8980,8980
208,736,9031,9031
209,704,9067,9067
210,704,9118,9118
211,736,9154,9154
212,704,9205,9205
213,832,9241,9241
214,768,9292,9292
215,704,9328,9328
216,704,9379,9379
217,704,9415,9415
218,736,9466,9466
