HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,7136,1,1
1,8800,37,37
2,14016,71,71
3,124128,107,107
4,768,143,143
5,928,179,179
6,768,215,215
7,768,251,251
8,704,287,287
9,736,323,323
10,768,359,359
11,704,395,395
12,768,431,431
13,736,467,467
14,704,503,503
15,768,539,539
16,736,575,575
17,896,611,611
18,704,647,647
19,736,683,683
20,736,719,719
21,704,755,755
22,736,791,791
23,736,827,827
24,736,863,863
25,704,899,899
26,736,935,935
27,704,971,971
28,768,1007,1007
29,736,1043,1043
30,736,1079,1079
31,736,1115,1115
32,736,1151,1151
33,768,1187,1187
34,704,1223,1223
35,704,1259,1259
36,736,1295,1295
37,704,1331,1331
38,736,1367,1367
39,704,1403,1403
40,736,1439,1439
41,736,1475,1475
42,736,1511,1511
43,736,1547,1547
44,704,1583,1583
45,736,1619,1619
46,704,1655,1655
47,704,1691,1691
48,736,1727,1727
49,736,1763,1763
50,736,1799,1799
51,736,1835,1835
52,736,1871,1871
53,736,1907,1907
54,768,1943,1943
55,736,1979,1979
56,736,2015,2015
57,736,2051,2051
58,736,2087,2087
59,960,2123,2123
60,704,2159,2159
61,704,2195,2195
62,736,2231,2231
63,704,2267,2267
64,800,2303,2303
65,800,2339,2339
66,832,2375,2375
67,768,2411,2411
68,768,2447,2447
69,768,2483,2483
70,864,2519,2519
71,736,2555,2555
72,736,2591,2591
73,736,2627,2627
74,704,2663,2663
75,800,2699,2699
76,704,2735,2735
77,704,2771,2771
78,704,2807,2807
79,704,2843,2843
80,704,2879,2879
81,736,2915,2915
82,736,2951,2951
83,736,2987,2987
84,736,3023,3023
85,736,3059,3059
86,896,3095,3095
87,736,3131,3131
88,736,3167,3167
89,704,3203,3203
90,736,3239,3239
91,736,3275,3275
92,704,3311,3311
93,800,3347,3347
94,768,3383,3383
95,704,3419,3419
96,736,3455,3455
97,736,3491,3491
98,704,3527,3527
99,704,3563,3563
100,736,3599,3599
101,736,3635,3635
102,736,3671,3671
103,736,3707,3707
104,704,3743,3743
