HUD frame time nsec:,16662000

Range Index,Elapsed Time, First Event,Last Event
0,7104,1,1
1,9152,37,37
2,18752,71,71
3,80608,107,107
4,736,143,143
5,704,179,179
6,672,215,215
7,736,251,251
8,736,287,287
9,768,323,323
10,768,359,359
11,704,395,395
12,768,431,431
13,736,467,467
14,960,503,503
15,736,539,539
16,736,575,575
17,704,611,611
18,768,647,647
19,704,683,683
20,704,719,719
21,992,755,755
22,736,791,791
23,736,827,827
24,832,863,863
25,736,899,899
26,736,935,935
27,736,971,971
28,736,1007,1007
29,736,1043,1043
30,768,1079,1079
31,704,1115,1115
32,736,1151,1151
33,704,1187,1187
34,704,1223,1223
35,864,1259,1259
36,736,1295,1295
37,704,1331,1331
38,704,1367,1367
39,768,1403,1403
40,704,1439,1439
41,736,1475,1475
42,704,1511,1511
43,736,1547,1547
44,736,1583,1583
45,992,1619,1619
46,736,1655,1655
47,704,1691,1691
48,736,1727,1727
49,704,1763,1763
50,704,1799,1799
51,704,1835,1835
52,736,1871,1871
53,704,1907,1907
54,736,1943,1943
55,704,1979,1979
56,736,2015,2015
57,736,2051,2051
58,704,2087,2087
59,736,2123,2123
60,736,2159,2159
61,704,2195,2195
62,704,2231,2231
63,736,2267,2267
64,704,2303,2303
65,736,2339,2339
66,704,2375,2375
67,704,2411,2411
68,704,2447,2447
69,704,2483,2483
70,704,2519,2519
71,704,2555,2555
72,704,2591,2591
73,704,2627,2627
74,672,2663,2663
75,704,2699,2699
76,704,2735,2735
77,704,2771,2771
78,704,2807,2807
79,736,2843,2843
80,736,2879,2879
81,768,2915,2915
82,768,2951,2951
83,704,2987,2987
84,704,3023,3023
85,704,3059,3059
86,704,3095,3095
87,704,3131,3131
88,736,3167,3167
89,864,3203,3203
90,704,3239,3239
91,736,3275,3275
92,704,3311,3311
93,736,3347,3347
94,704,3383,3383
95,704,3419,3419
96,832,3455,3455
97,704,3491,3491
98,704,3527,3527
99,704,3563,3563
100,704,3599,3599
101,704,3635,3635
102,704,3671,3671
103,704,3707,3707
104,704,3743,3743
105,736,3779,3779
106,704,3815,3815
107,736,3851,3851
108,736,3887,3887
109,704,3923,3923
110,736,3959,3959
111,704,3995,3995
112,704,4031,4031
113,672,4067,4067
114,704,4103,4103
115,704,4139,4139
116,704,4175,4175
117,704,4211,4211
118,704,4247,4247
119,704,4283,4283
120,704,4319,4319
121,704,4355,4355
122,736,4391,4391
123,704,4427,4427
124,672,4463,4463
125,704,4499,4499
126,704,4535,4535
127,704,4571,4571
128,704,4607,4607
129,704,4643,4643
130,704,4679,4679
131,672,4715,4715
132,704,4751,4751
133,928,4787,4787
134,704,4823,4823
135,736,4859,4859
136,704,4895,4895
137,704,4931,4931
138,704,4967,4967
139,704,5003,5003
140,704,5039,5039
141,704,5075,5075
142,1295520,5111,5111
143,1248,5147,5147
144,800,5183,5183
145,768,5219,5219
146,864,5255,5255
147,832,5291,5291
148,864,5327,5327
149,864,5363,5363
150,928,5399,5399
151,928,5435,5435
152,800,5471,5471
153,832,5507,5507
154,832,5543,5543
155,896,5579,5579
156,928,5615,5615
157,864,5651,5651
158,832,5687,5687
159,864,5723,5723
160,832,5759,5759
161,832,5795,5795
162,800,5831,5831
163,832,5867,5867
164,896,5903,5903
165,864,5939,5939
166,832,5975,5975
167,896,6011,6011
168,864,6047,6047
169,832,6083,6083
170,864,6119,6119
171,832,6155,6155
172,864,6191,6191
173,896,6227,6227
174,832,6263,6263
175,896,6299,6299
176,832,6335,6335
177,832,6371,6371
178,800,6407,6407
179,832,6443,6443
180,896,6479,6479
181,768,6515,6515
182,864,6551,6551
183,928,6587,6587
184,864,6623,6623
185,864,6659,6659
186,832,6695,6695
187,864,6731,6731
188,864,6767,6767
189,864,6803,6803
190,832,6839,6839
191,736,6875,6875
192,704,6911,6911
193,864,6947,6947
194,832,6983,6983
195,864,7019,7019
196,864,7055,7055
197,928,7091,7091
198,704,7127,7127
199,768,7163,7163
200,832,7199,7199
201,800,7235,7235
202,864,7271,7271
203,832,7307,7307
204,800,7343,7343
205,864,7379,7379
206,832,7415,7415
207,800,7451,7451
208,864,7487,7487
209,832,7523,7523
210,896,7559,7559
211,896,7595,7595
212,864,7631,7631
213,832,7667,7667
214,864,7703,7703
215,864,7739,7739
216,864,7775,7775
217,864,7811,7811
218,896,7847,7847
219,864,7883,7883
220,896,7919,7919
221,800,7955,7955
222,864,7991,7991
223,832,8027,8027
224,832,8063,8063
225,896,8099,8099
226,832,8135,8135
227,896,8171,8171
228,864,8207,8207
229,864,8243,8243
230,864,8279,8279
231,832,8315,8315
232,832,8351,8351
233,896,8387,8387
234,800,8423,8423
235,832,8459,8459
236,864,8495,8495
237,10865184,8510,8510
