HUD frame time nsec:,37519000

Range Index,Elapsed Time, First Event,Last Event
0,7200,1,1
1,8800,37,37
2,13664,71,71
3,95296,107,107
4,10784,157,157
5,736,193,193
6,704,244,244
7,704,280,280
8,736,331,331
9,736,367,367
10,704,418,418
11,768,454,454
12,768,505,505
13,768,541,541
14,704,592,592
15,832,628,628
16,768,679,679
17,768,715,715
18,800,766,766
19,768,802,802
20,704,853,853
21,704,889,889
22,704,940,940
23,704,976,976
24,672,1027,1027
25,704,1063,1063
26,768,1114,1114
27,736,1150,1150
28,736,1201,1201
29,736,1237,1237
30,768,1288,1288
31,736,1324,1324
32,704,1375,1375
33,704,1411,1411
34,736,1462,1462
35,704,1498,1498
36,736,1549,1549
37,736,1585,1585
38,704,1636,1636
39,736,1672,1672
40,736,1723,1723
41,736,1759,1759
42,704,1810,1810
43,704,1846,1846
44,736,1897,1897
45,704,1933,1933
46,736,1984,1984
47,704,2020,2020
48,704,2071,2071
49,736,2107,2107
50,704,2158,2158
51,704,2194,2194
52,736,2245,2245
53,736,2281,2281
54,704,2332,2332
55,736,2368,2368
56,864,2419,2419
57,704,2455,2455
58,736,2506,2506
59,736,2542,2542
60,896,2593,2593
61,704,2629,2629
62,736,2680,2680
63,704,2716,2716
64,704,2767,2767
65,704,2803,2803
66,704,2854,2854
67,736,2890,2890
68,736,2941,2941
69,736,2977,2977
70,736,3028,3028
71,704,3064,3064
72,704,3115,3115
73,736,3151,3151
74,736,3202,3202
75,736,3238,3238
76,736,3289,3289
77,704,3325,3325
78,704,3376,3376
79,736,3412,3412
80,736,3463,3463
81,704,3499,3499
82,736,3550,3550
83,736,3586,3586
84,704,3637,3637
85,736,3673,3673
86,704,3724,3724
87,704,3760,3760
88,736,3811,3811
89,704,3847,3847
90,704,3898,3898
91,736,3934,3934
92,736,3985,3985
93,736,4021,4021
94,736,4072,4072
95,736,4108,4108
96,704,4159,4159
97,736,4195,4195
98,736,4246,4246
99,736,4282,4282
100,704,4333,4333
101,736,4369,4369
102,704,4420,4420
103,736,4456,4456
104,704,4507,4507
105,704,4543,4543
106,704,4594,4594
107,704,4630,4630
108,736,4681,4681
109,704,4717,4717
110,704,4768,4768
111,736,4804,4804
112,736,4855,4855
113,704,4891,4891
114,736,4942,4942
115,736,4978,4978
116,736,5029,5029
117,736,5065,5065
118,736,5116,5116
119,736,5152,5152
120,704,5203,5203
121,736,5239,5239
122,736,5290,5290
123,736,5326,5326
124,736,5377,5377
125,864,5413,5413
126,704,5464,5464
127,704,5500,5500
128,768,5551,5551
129,704,5587,5587
130,704,5638,5638
131,736,5674,5674
132,736,5725,5725
133,736,5761,5761
134,736,5812,5812
135,704,5848,5848
136,896,5899,5899
137,704,5935,5935
138,704,5986,5986
139,736,6022,6022
140,736,6073,6073
141,736,6109,6109
142,704,6160,6160
143,736,6196,6196
144,736,6247,6247
145,704,6283,6283
146,704,6334,6334
147,736,6370,6370
148,704,6421,6421
149,736,6457,6457
150,736,6508,6508
151,704,6544,6544
152,736,6595,6595
153,704,6631,6631
154,736,6682,6682
155,704,6718,6718
156,736,6769,6769
157,736,6805,6805
158,736,6856,6856
159,736,6892,6892
160,704,6943,6943
161,704,6979,6979
162,704,7030,7030
163,736,7066,7066
164,736,7117,7117
165,704,7153,7153
166,736,7204,7204
167,736,7240,7240
168,736,7291,7291
169,704,7327,7327
170,736,7378,7378
171,736,7414,7414
172,704,7465,7465
173,736,7501,7501
174,704,7552,7552
175,704,7588,7588
176,736,7639,7639
177,704,7675,7675
178,704,7726,7726
179,704,7762,7762
180,704,7813,7813
181,704,7849,7849
182,704,7900,7900
183,704,7936,7936
184,704,7987,7987
185,704,8023,8023
186,704,8074,8074
187,704,8110,8110
188,704,8161,8161
189,704,8197,8197
190,704,8248,8248
191,672,8284,8284
192,704,8335,8335
193,704,8371,8371
194,3643104,8422,8422
195,704,8458,8458
196,704,8509,8509
197,768,8545,8545
198,736,8596,8596
199,704,8632,8632
200,704,8683,8683
201,736,8719,8719
202,992,8770,8770
203,704,8806,8806
204,672,8857,8857
205,768,8893,8893
206,768,8944,8944
207,736,8980,8980
208,736,9031,9031
209,704,9067,9067
210,704,9118,9118
211,704,9154,9154
212,704,9205,9205
213,704,9241,9241
214,800,9292,9292
215,704,9328,9328
216,768,9379,9379
217,736,9415,9415
218,704,9466,9466
219,736,9502,9502
220,736,9553,9553
221,704,9589,9589
222,736,9640,9640
223,736,9676,9676
224,928,9727,9727
225,736,9763,9763
226,704,9814,9814
227,704,9850,9850
228,896,9901,9901
229,736,9937,9937
230,736,9988,9988
231,704,10024,10024
232,704,10075,10075
233,736,10111,10111
234,736,10162,10162
235,736,10198,10198
236,704,10249,10249
237,736,10285,10285
238,736,10336,10336
239,704,10372,10372
240,736,10423,10423
241,736,10459,10459
242,736,10510,10510
243,736,10546,10546
244,736,10597,10597
245,704,10633,10633
246,704,10684,10684
247,704,10720,10720
248,736,10771,10771
249,704,10807,10807
250,704,10858,10858
251,736,10894,10894
252,704,10945,10945
253,736,10981,10981
254,704,11032,11032
255,736,11068,11068
256,736,11119,11119
257,736,11155,11155
258,736,11206,11206
259,736,11242,11242
260,704,11293,11293
261,704,11329,11329
262,704,11380,11380
263,704,11416,11416
264,704,11467,11467
265,704,11503,11503
266,704,11554,11554
267,736,11590,11590
268,704,11641,11641
269,704,11677,11677
270,704,11728,11728
271,704,11764,11764
272,704,11815,11815
273,928,11851,11851
274,704,11902,11902
275,736,11938,11938
276,704,11989,11989
277,928,12025,12025
278,704,12076,12076
279,736,12112,12112
280,704,12163,12163
281,736,12199,12199
282,736,12250,12250
283,736,12286,12286
284,704,12337,12337
285,704,12373,12373
286,704,12424,12424
287,704,12460,12460
288,736,12511,12511
289,704,12547,12547
290,704,12598,12598
291,736,12634,12634
292,736,12685,12685
293,704,12721,12721
294,704,12772,12772
295,736,12808,12808
296,704,12859,12859
297,704,12895,12895
298,704,12946,12946
299,704,12982,12982
300,736,13033,13033
301,736,13069,13069
302,704,13120,13120
303,704,13156,13156
304,736,13207,13207
305,704,13243,13243
306,704,13294,13294
307,704,13330,13330
308,736,13381,13381
309,736,13417,13417
310,736,13468,13468
311,736,13504,13504
312,736,13555,13555
313,704,13591,13591
314,736,13642,13642
315,704,13678,13678
316,736,13729,13729
317,704,13765,13765
318,736,13816,13816
319,736,13852,13852
320,736,13903,13903
321,736,13939,13939
322,736,13990,13990
323,704,14026,14026
324,704,14077,14077
325,736,14113,14113
326,704,14164,14164
327,704,14200,14200
328,704,14251,14251
329,736,14287,14287
330,704,14338,14338
331,704,14374,14374
332,704,14425,14425
333,736,14461,14461
334,736,14512,14512
335,736,14548,14548
336,704,14599,14599
337,704,14635,14635
338,704,14686,14686
339,736,14722,14722
340,736,14773,14773
341,736,14809,14809
342,704,14860,14860
343,736,14896,14896
344,704,14947,14947
345,704,14983,14983
346,704,15034,15034
347,736,15070,15070
348,704,15121,15121
349,736,15157,15157
350,704,15208,15208
351,736,15244,15244
352,736,15295,15295
353,736,15331,15331
354,704,15382,15382
355,736,15418,15418
356,704,15469,15469
357,704,15505,15505
358,736,15556,15556
359,704,15592,15592
360,704,15643,15643
361,736,15679,15679
362,736,15730,15730
363,704,15766,15766
364,704,15817,15817
365,736,15853,15853
366,672,15904,15904
367,704,15940,15940
368,672,15991,15991
369,704,16027,16027
370,704,16078,16078
371,704,16114,16114
372,704,16165,16165
373,704,16201,16201
374,736,16252,16252
375,704,16288,16288
376,736,16339,16339
377,736,16375,16375
378,736,16426,16426
379,704,16462,16462
380,672,16513,16513
381,736,16549,16549
382,704,16600,16600
383,704,16636,16636
384,704,16687,16687
385,736,16723,16723
386,704,16774,16774
387,832,16810,16810
388,704,16861,16861
389,704,16897,16897
390,736,16948,16948
391,672,16984,16984
392,704,17035,17035
393,672,17071,17071
394,672,17122,17122
395,704,17158,17158
396,704,17209,17209
397,736,17245,17245
398,704,17296,17296
399,704,17332,17332
400,704,17383,17383
401,704,17419,17419
402,704,17470,17470
403,704,17506,17506
404,704,17557,17557
405,704,17593,17593
406,704,17644,17644
407,704,17680,17680
408,704,17731,17731
409,704,17767,17767
410,672,17818,17818
411,3728320,17854,17854
412,2144,17905,17905
413,704,17941,17941
414,704,17992,17992
415,736,18028,18028
416,832,18079,18079
417,768,18115,18115
418,768,18166,18166
419,704,18202,18202
420,864,18253,18253
421,736,18289,18289
422,736,18340,18340
423,736,18376,18376
424,736,18427,18427
425,704,18463,18463
426,704,18514,18514
427,704,18550,18550
428,736,18601,18601
429,704,18637,18637
430,704,18688,18688
431,704,18724,18724
432,704,18775,18775
433,704,18811,18811
434,736,18862,18862
435,736,18898,18898
436,736,18949,18949
437,704,18985,18985
438,736,19036,19036
439,704,19072,19072
440,736,19123,19123
441,832,19159,19159
442,736,19210,19210
443,736,19246,19246
444,704,19297,19297
445,736,19333,19333
446,832,19384,19384
447,736,19420,19420
448,704,19471,19471
449,704,19507,19507
450,704,19558,19558
451,736,19594,19594
452,832,19645,19645
453,736,19681,19681
454,736,19732,19732
455,704,19768,19768
456,704,19819,19819
457,800,19855,19855
458,704,19906,19906
459,736,19942,19942
460,704,19993,19993
461,736,20029,20029
462,736,20080,20080
463,704,20116,20116
464,736,20167,20167
465,736,20203,20203
466,704,20254,20254
467,704,20290,20290
468,736,20341,20341
469,736,20377,20377
470,704,20428,20428
471,736,20464,20464
472,704,20515,20515
473,736,20551,20551
474,704,20602,20602
475,736,20638,20638
476,704,20689,20689
477,736,20725,20725
478,736,20776,20776
479,704,20812,20812
480,736,20863,20863
481,736,20899,20899
482,736,20950,20950
483,736,20986,20986
484,704,21037,21037
485,736,21073,21073
486,736,21124,21124
487,736,21160,21160
488,704,21211,21211
489,768,21247,21247
490,704,21298,21298
491,736,21334,21334
492,704,21385,21385
493,704,21421,21421
494,704,21472,21472
495,736,21508,21508
496,800,21559,21559
